"","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","bua","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","Reliability","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","a$cluster","log","lan"
"13664","General observations","Observation","place",5123.58559,"watercourse_stream",0.012227227,"N","N","N","N","N",22.6000003814697,0.000199999994947575,17,99,122,20,1.28880000114441,0.00389999989420176,0.0578455738723278,1.29433882236481,299.703491210937,8.32520008087158,73.9804992675781,-4.70349979400635,103,17.755500793457,"low reliability",147.05419,-37.92293
"13671","Spotlighting on foot","Heard","place",7307.38671,"watercourse_river",0.000441836,"N","Y","Y","N","Y",170,0.111199997365475,62,98,124,6,2.21140003204346,0.0229000002145767,0.297513514757156,15.057710647583,280.315307617187,32.5192985534668,71.1491012573242,62.3334007263184,6,13.9603004455566,"high reliability",145.64221,-37.9845
"13688","Spotlighting","Observation","place",429.730434,"coast",0.000286257,"N","N","Y","N","Y",-1,0,86,173,141,-99,0,0,0,1.76559710502625,261.072509765625,9.92749977111816,99.0725021362305,54.3720016479492,-99,19.4659996032715,"high reliability",145.05425,-38.42951
"13689","Owl census","Heard","place",270.3700206,"road",0.000437676,"N","Y","Y","Y","N",423.200012207031,1.27190005779266,21,68,1,16,2.62619996070862,0.0441000014543533,0,1.76559710502625,246.717407226562,42.850399017334,70.7399978637695,73.0391006469727,6,11.7735004425049,"low reliability",146.55138,-38.46464
"13703","Listening","Observation","mountain",3606.245189,"road",0.000250886,"N","Y","Y","N","N",103.199996948242,0,62,98,124,16,1.97769999504089,0.0103000001981854,0.609246551990509,10.2270612716675,287.554412841797,29.2994995117187,69.7091979980469,47.2732009887695,106,16.0188007354736,"low reliability",145.81193,-37.98093
"13708","Spotlighting","Heard","place",8115.702586,"watercourse_stream",0.003956974,"N","Y","Y","N","N",82.8000030517578,0.00130000000353903,32,120,129,16,1.92019999027252,0.00499999988824129,0,1.76559710502625,275.452514648437,10.3697996139526,85.2006988525391,21.7530994415283,109,17.2117004394531,"high reliability",146.84605,-38.42755
"13712","Incidental","Heard","place",3510.694359,"road",0.000794734,"N","N","N","N","N",-1,0,88,178,141,-99,0,0,0,1.76559710502625,266.082611083984,17.9174003601074,91.0826034545898,67.9173965454102,-99,19.4659996032715,"low reliability",145.69414,-38.64746
"13716","General observations","Observation","rail_station",2576.043258,"watercourse_river",0.001311114,"N","N","N","N","N",76.0500030517578,-0.0288999993354082,16,154,123,19,1.79069995880127,0.00620000017806888,0.963886618614197,12.092267036438,293.604797363281,14.3459997177124,79.6047973632813,14.2046003341675,109,16.2183990478516,"low reliability",144.97564,-37.66941
"13717","Incidental","Heard","peninsula",1108.646106,"coast",0.002042526,"N","N","N","N","N",-1,0,86,173,141,-99,0,0,0,1.76559710502625,261.765594482422,19.2343997955322,89.7656021118164,70.2343978881836,-99,19.4659996032715,"low reliability",145.59833,-38.66978
"13720","Incidental","Seen","place",1493.067105,"watercourse_river",2.57e-05,"N","N","N","N","Y",164.399993896484,0.0978000015020371,62,98,124,12,2.17720007896423,0.0217000003904104,0.242956265807152,13.1984825134277,291.410400390625,31.5382995605469,75.4822006225586,74.0305023193359,12,15.1391000747681,"high reliability",145.6087,-37.76871
"13721","General observations","Heard","airport",10942.47316,"watercourse_stream",0.028169098,"N","Y","Y","N","N",20.7999992370606,-0.00630000000819564,16,95,122,103,1.36510002613068,0.00410000002011657,0,1.76559710502625,271.156890869141,11.4686002731323,71.5314025878906,10.4686002731323,103,16.1802997589111,"low reliability",147.25673,-38.25253
"13723","General observations","Captured and released","rail_station",3896.032808,"road",0.000326183,"N","N","N","N","N",203.63639831543,-0.0395999997854233,35,121,125,109,1.99360001087189,0.0148000000044704,0.218461856245995,8.1340217590332,288.636596679688,-6.07250022888184,81.4273986816406,38.92919921875,109,15.9707002639771,"low reliability",142.00578,-37.77633
"13724","General observations","Captured and released","place",5550.630983,"watercourse_stream",0.018326692,"N","N","N","N","N",60.7999992370606,-0.00359999993816018,37,151,126,16,1.50189995765686,0.00260000000707805,0,1.76559710502625,262.661010742187,-1.63629996776581,89.6362991333008,51.3637008666992,103,16.1466999053955,"low reliability",142.03444,-38.20148
