temp_id,LATITUDEDD_NUM,LONGITUDEDD_NUM,bay,bua,forest,island,island_marine,lga,locality,mainland,named_natural_region,postcode,public_land,ridge,sea,vicgov_region,wb_lake,wb_lake_salt,wetland_swamp
3769,-35.97202,144.44437,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3770,-36.13076,145.19258,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3771,-36.13076,145.19258,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3772,-36.16036,145.24303,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3773,-35.92954,144.43909,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3774,-36.262,144.39155,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3775,-36.58522,145.26363,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3776,-36.58522,145.26363,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3777,-36.14663,146.66277,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3778,-38.32655,146.32113,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
3779,-38.32655,146.32113,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
3780,-38.32655,146.32113,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
3781,-38.32655,146.32113,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
3782,-38.32655,146.32113,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
3783,-36.79544,143.44754,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3784,-36.77544,143.22732,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3785,-36.20029,146.19424,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3786,-36.58398,143.68335,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3787,-36.77847,143.25766,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3788,-36.72403,143.22919,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3789,-36.72403,143.22919,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3790,-36.70019,143.25089,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3791,-36.80083,143.21909,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3792,-36.80083,143.21909,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3793,-36.68532,143.22695,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3794,-36.94891,143.20429,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3795,-36.7432,144.83785,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3796,-36.89015,144.99417,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3797,-36.95063,143.20883,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3798,-36.67325,143.24563,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3799,-36.85971,145.11722,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3800,-36.88554,143.61758,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3801,-36.584,143.34027,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3802,-36.93002,143.68421,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3803,-36.88184,143.62194,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3804,-36.91412,144.03058,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3805,-36.69437,143.22498,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3806,-36.60138,143.32738,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3807,-36.68064,143.23577,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3808,-36.79708,143.32096,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3809,-36.79708,143.32096,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3810,-36.86948,143.6103,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3811,-36.86948,143.6103,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3812,-36.68064,143.23577,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3813,-36.94983,143.20319,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3814,-36.22535,141.84647,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3815,-36.16852,144.24237,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3816,-36.89248,144.29395,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3817,-36.93524,143.809,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3818,-36.49647,144.39821,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3819,-36.56462,145.3356,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3820,-36.12305,146.6162,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3821,-36.71411,143.27704,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3822,-36.88312,143.68593,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3823,-36.60113,143.64147,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3824,-37.14378,142.63575,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3825,-35.66446,142.08467,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3826,-36.13171,146.51835,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
