"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif"
"2313","high reliability","Cage trap","Captured and released","mountain",4775.797272,"watercourse_stream",0.0104625,"Y","Y","N","N",441,-1.56239998340607,6,76,136,16,2.61829996109009,0.134800001978874,3.24335551261902,21.6365947723389,335.946685791016,-1.33379995822907,66.0451965332031,60.2187995910645,12,14.7393999099731
"2314","high reliability","Cage trap","Captured and released","mountain",4775.797272,"watercourse_stream",0.0104625,"Y","Y","N","N",441,-1.56239998340607,6,76,136,16,2.61829996109009,0.134800001978874,3.24335551261902,21.6365947723389,335.946685791016,-1.33379995822907,66.0451965332031,60.2187995910645,12,14.7393999099731
"2315","high reliability","General observations","Captured and released","rail_station",5586.830504,"watercourse_stream",0.014326219,"N","N","N","Y",95.4000015258789,-0.868799984455109,62,98,124,12,1.95200002193451,0.0471000000834465,1.34287905693054,7.65959453582764,282.705596923828,27.69700050354,72.2324981689453,50.3876991271973,12,12.3900003433228
"2316","high reliability","General observations","Captured and released","place",4189.126014,"watercourse_river",0.001652029,"Y","N","N","N",321.200012207031,-0.00999999977648258,4,101,102,112,2.47199988365173,0.0244999993592501,0.496819734573364,8.48055744171143,295.254302978516,24.9057006835937,66.2406997680664,110.768203735352,112,16.6431007385254
"2317","high reliability","Elliott trap","Captured and released","peninsula",6734.618033,"coast",0.006848084,"Y","Y","N","N",-0.600000023841858,-0.116200000047684,84,170,141,-99,0,0.0681999996304512,0,0,246.940994262695,22.323299407959,94.9817962646484,90.0995025634766,-99,17.7658004760742
"2318","high reliability","Elliott trap","Captured and released","peninsula",6734.618033,"coast",0.006848084,"Y","Y","N","N",-0.600000023841858,-0.116200000047684,84,170,141,-99,0,0.0681999996304512,0,0,246.940994262695,22.323299407959,94.9817962646484,90.0995025634766,-99,17.7658004760742
"2319","high reliability","Elliott trap","Captured and released","peninsula",6734.618033,"coast",0.006848084,"Y","Y","N","N",-0.600000023841858,-0.116200000047684,84,170,141,-99,0,0.0681999996304512,0,0,246.940994262695,22.323299407959,94.9817962646484,90.0995025634766,-99,17.7658004760742
"2320","high reliability","Elliott trap","Captured and released","peninsula",6734.618033,"coast",0.006848084,"Y","Y","N","N",-0.600000023841858,-0.116200000047684,84,170,141,-99,0,0.0681999996304512,0,0,246.940994262695,22.323299407959,94.9817962646484,90.0995025634766,-99,17.7658004760742
"2321","high reliability","General observations","Captured and released","mountain",9023.975061,"watercourse_river",0.004182717,"Y","Y","N","N",255.399993896484,0.0031999999191612,30,112,112,103,1.50820004940033,0.0052000000141561,0.322294920682907,9.41339492797852,287.647308349609,4.34649991989136,65.6535034179688,37.0108985900879,103,15.6338996887207
"2322","high reliability","General observations","Captured and released","mountain",9023.975061,"watercourse_river",0.004182717,"Y","Y","N","N",255.399993896484,0.0031999999191612,30,112,112,103,1.50820004940033,0.0052000000141561,0.322294920682907,9.41339492797852,287.647308349609,4.34649991989136,65.6535034179688,37.0108985900879,103,15.6338996887207
"2323","high reliability","Cage trap","Captured and released","airport",2565.540756,"watercourse_river",0.004469981,"Y","Y","N","Y",161.199996948242,0.47350001335144,40,30,124,12,2.19190001487732,0.0511999987065792,0.595208585262299,12.9594078063965,281.903198242187,25.3572006225586,77.5307006835938,46.0718002319336,12,11.0167999267578
