"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","LATITUDEDD_NUM","LONGITUDEDD_NUM"
"3460","High reliability","Small hair tubes","Identified from hair or scats","airport",4618.842258,"watercourse_river",0.006235993,"Y","N","N","N",51.8400001525879,0.0366000011563301,20,149,127,17,1.66670000553131,0.0115999998524785,0,1.76559710502625,260.852691650391,4.65659999847412,78.6333999633789,77.7794036865234,6,15.6253995895386,-38.04593,141.22155
"3461","High reliability","General observations","Captured and released","place",6452.911648,"road",0.000778342,"Y","Y","Y","N",397.399993896484,-1.41159999370575,62,98,106,12,2.57010006904602,0.0406000018119812,0.378354370594025,6.75707721710205,279.477294921875,36.511100769043,67.1334991455078,70.6544036865234,12,11.7607002258301,-37.49483,145.41926
"3465","High reliability","Camera - Surveillance/Remote","Observation with supporting evidence","peninsula",2494.246684,"road",0.001013543,"Y","Y","N","Y",33.4000015258789,0.00179999996908009,22,71,99,6,1.54560005664825,0.00260000000707805,0,1.76559710502625,274.408111572266,32.6599998474121,66.4096984863281,45.5922012329102,6,15.8198003768921,-37.79864,148.70875
"3466","High reliability","Stag watching","Seen","place",4901.154527,"road",0.007068281,"Y","Y","N","Y",340.399993896484,1.60549998283386,66,109,124,6,2.51620006561279,0.0992999970912933,0.3874871134758,9.16563510894775,273.664886474609,40.0289001464844,59.5839004516602,98.9692001342774,6,11.0164003372192,-37.8323,145.7898
"3467","High reliability","Spotlighting on foot","Seen","place",4901.154527,"road",0.007068281,"Y","Y","N","Y",340.399993896484,1.60549998283386,66,109,124,6,2.51620006561279,0.0992999970912933,0.3874871134758,9.16563510894775,273.664886474609,40.0289001464844,59.5839004516602,98.9692001342774,6,11.0164003372192,-37.8323,145.7898
"3468","High reliability","Camera - Surveillance/Remote","Seen","place",2002.499745,"watercourse_river",0.007038536,"Y","Y","Y","N",823.400024414062,-0.141499996185303,4,101,114,12,2.86619997024536,0.0133999995887279,0.881027102470398,10.5520973205566,254.819595336914,21.7296009063721,45.4163017272949,102.230697631836,12,11.8178997039795,-37.4086,144.19063
"3469","High reliability","Camera - Surveillance/Remote","Seen","place",2794.720972,"watercourse_stream",0.003058195,"Y","Y","Y","N",606.599975585938,0.321900010108948,19,100,119,12,2.72650003433227,0.029899999499321,1.53609979152679,12.2782249450684,264.644592285156,20.7283000946045,50.6283988952637,59.3939018249512,12,12.253399848938,-37.4527,144.32525
"3470","High reliability","Large hair tubes","Identified from hair or scats","mountain",17045.08165,"road",5.68e-05,"Y","Y","N","Y",121.800003051758,-0.116999998688698,21,68,99,6,2.08979988098144,0.0610000006854534,0,1.76559710502625,260.1171875,39.1398010253906,71.4694976806641,50.5383987426758,6,13.5733003616333,-37.69108,149.43615
"3471","High reliability","Camera - Surveillance/Remote","Observation","place",17137.3412,"road",0.009792555,"Y","Y","N","Y",1110,-0.135900005698204,68,73,78,7,3.04450011253357,0.0562000013887882,0.49393293261528,7.30105209350586,234.751098632813,82.0315017700195,13.0775995254517,105.082901000977,7,12.2931995391846,-37.2675,149.00214
"3472","High reliability","Camera - Surveillance/Remote","Observation","place",14645.71707,"watercourse_stream",0.011187242,"Y","Y","N","Y",1044.40002441406,0.0417000018060207,25,125,87,7,3.01799988746643,0.00680000009015203,1.33108866214752,12.2356224060059,240.052307128906,76.1679992675781,12.9055995941162,100.745300292969,7,12.8633003234863,-37.2596,148.96736
"3473","High reliability","Camera - Surveillance/Remote","Seen","place",3805.073146,"watercourse_stream",0.011567594,"Y","Y","N","N",488.799987792969,2.10179996490479,66,110,75,17,2.66960000991821,0.185100004076958,1.84441006183624,14.1538467407227,310.898986816406,25.5433006286621,52.4566993713379,133.667694091797,7,14.2532997131348,-36.7868,147.02197
"3474","High reliability","Camera - Surveillance/Remote","Seen","place",9290.687733,"road",0.000821719,"Y","Y","N","Y",149.600006103516,-0.146200001239777,21,68,99,6,2.1784999370575,0.0679000020027161,0,1.76559710502625,271.547912597656,48.3213996887207,62.0405006408691,62.3157005310059,6,14.3402004241943,-37.6805,149.06917
"3475","High reliability","Camera - Surveillance/Remote","Seen","mountain",9307.309838,"watercourse_stream",0.00636187,"Y","Y","N","Y",193.199996948242,2.37829995155335,8,78,109,6,2.28800010681152,0.153799995779991,0.300228595733643,3.92977404594421,281.059387207031,29.7430992126465,56.252498626709,35.0816993713379,6,12.1012001037598,-37.6007,148.37881
"3476","High reliability","Camera - Surveillance/Remote","Seen","place",8225.057691,"road",0.022455562,"Y","Y","N","Y",176.800003051758,1.7315000295639,40,30,99,12,2.25079989433289,0.058899998664856,0,1.76559710502625,272.210296630859,42.6703987121582,66.4945983886719,57.7298011779785,12,11.3660001754761,-37.6782,149.1824
"3477","High reliability","Camera - Surveillance/Remote","Seen","peninsula",9222.412304,"road",0.007781421,"Y","Y","N","Y",112.800003051758,-0.111100003123283,22,71,99,6,2.05739998817444,0.0351000018417835,0,1.76559710502625,267.414489746094,38.9089012145996,70.1988983154297,55.4539985656738,6,14.9974002838135,-37.7201,149.27368
"3478","High reliability","Elliott trap","Seen","place",5065.501664,"watercourse_stream",0.012869981,"Y","Y","N","N",48.2000007629395,-0.546299993991852,45,136,130,6,1.65639996528626,0.0383000001311302,0,1.76559710502625,263.988311767578,3.25609993934631,90.2093963623047,42.9213981628418,6,13.6372995376587,-38.4146,144.1137
"3479","High reliability","Camera - Surveillance/Remote","Seen","place",2016.378743,"road",0.00718527,"Y","Y","N","N",-1,0,84,170,141,-99,0,0,0,1.76559710502625,263.333312988281,4.66669988632202,89.8179016113281,38.6666984558105,-99,19.4659996032715,-38.3863,144.1976
"3480","High reliability","Camera - Surveillance/Remote","Seen","place",5487.905973,"watercourse_stream",0.014580434,"Y","Y","Y","N",121.400001525879,2.11269998550415,64,102,130,6,2.01629996299744,0.0636999979615212,0,1.76559710502625,261.790191650391,4.96519994735718,84.8110961914063,43.6125984191895,6,11.8671998977661,-38.3768,144.0928
"3481","High reliability","Camera - Surveillance/Remote","Seen","place",4242.206056,"watercourse_stream",0.007043724,"Y","Y","N","N",14.8000001907349,-1.81710004806519,36,146,130,102,1.05599999427795,0.0706999972462654,0,1.76559710502625,265.189392089844,3.3176999092102,91.5074005126953,42.0547981262207,102,15.1106004714966,-38.4221,144.114
"3482","High reliability","Camera - Surveillance/Remote","Seen","mountain",6644.737689,"watercourse_stream",0.007997221,"Y","Y","N","N",73.5999984741211,-1.03779995441437,36,146,131,6,1.84210002422333,0.0910999998450279,0,1.76559710502625,261.535400390625,8.765700340271,86.7419967651367,53.380298614502,6,10.4752998352051,-38.456,144.021
"3483","High reliability","Camera - Surveillance/Remote","Seen","place",4760.486637,"watercourse_stream",0.014109014,"Y","Y","Y","N",95.4000015258789,0.971800029277802,45,136,130,6,1.87300002574921,0.0529000014066696,0,1.76559710502625,260.665008544922,6.31290006637573,83.0809020996094,44.6153984069824,6,11.8801002502441,-38.3731,144.0859
"3487","low reliability","General observations","Observation","place",429.1448805,"coast",0.005325283,"N","N","N","Y",-1,0,86,173,141,-99,0,0,0,1.76559710502625,261.072509765625,9.92749977111816,99.0725021362305,53.9275016784668,-99,19.4659996032715,-38.4238,145.05263
"3544","low reliability","General observations","Seen","place",1880.388574,"watercourse_stream",0.001129595,"Y","N","N","Y",485.799987792969,-0.924700021743774,63,65,124,19,2.67580008506775,0.0966000035405159,1.45566463470459,6.86678457260132,261.701812744141,41.3563003540039,75.2736968994141,79.7279968261719,7,13.5537004470825,-37.792334,145.367116
