"","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","X75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","Reliability"
"1443","Birds Australia 2ha search","Observation","place",7141.629138,"watercourse_stream",0.017467003,"Y","Y",82.1999969482422,-0.00350000010803342,107,10,83,103,1.03079998493195,0.0147000001743436,1.46965193748474,16.6703453063965,346.074096679687,-14.1426000595093,69.0740966796875,-3.07410001754761,103,16.0258007049561,"high reliability"
"1444","Birds Australia 2ha search","Observation","place",3450.595728,"road",0.019520879,"Y","Y",212.399993896484,0.0227000005543232,15,90,94,8,1.94900000095367,0.00760000012814999,0.623227179050446,9.44264698028564,327.159912109375,-11.5530004501343,68.5530014038086,11.944899559021,8,16.8463001251221,"high reliability"
"1445","Birds Australia 500m area search","Observation","mountain",5269.151496,"road",0.013779366,"Y","N",443,-0.0696000009775162,19,100,139,6,2.46440005302429,0.0205000005662441,0.209393575787544,6.96591091156006,303.455902099609,-1.42309999465942,63.7112998962402,64.2886962890625,6,16.9591999053955,"high reliability"
"1446","Birds Australia 5km area search","Observation","place",8649.34754,"road",0.004524234,"N","N",183,-0.174999997019768,15,90,81,8,1.98479998111725,0.0143999997526407,0.543868958950043,7.61109733581543,331.307403564453,-6.55770015716553,66.2996978759766,11.7799997329712,8,15.0296001434326,"high reliability"
"1447","Birds Australia 2ha search","Observation","place",825.7656791,"road",0.000931089,"Y","N",178.600006103516,0.0097000002861023,48,48,96,18,1.48000001907349,0.00839999970048666,0.357095241546631,6.01166296005249,323.073699951172,-14.0158996582031,75.0736999511719,18.0088005065918,103,16.232500076294,"high reliability"
"1448","Birds Australia 5km area search","Observation","place",2446.821824,"road",0.000188125,"N","N",200.600006103516,0.010499999858439,38,91,94,103,1.88250005245209,0.0293000005185604,1.06443619728088,12.9362392425537,325.533996582031,-10.9364995956421,69.3187026977539,12.4316997528076,103,17.1765003204346,"high reliability"
"1449","Birds Australia 500m area search","Observation","airport",4154.668955,"watercourse_river",0.00030045,"N","N",145,0.0211999993771315,15,90,83,18,1.72430002689362,0.00810000021010637,1.03852605819702,10.3378782272339,335.982086181641,-8.98209953308106,66.9821014404297,7.07110023498535,8,15.8487997055054,"high reliability"
"1450","Birds Australia 2ha search","Observation","place",2762.285831,"watercourse_river",0.001966635,"Y","N",203,-0.0399999991059303,30,112,112,106,1.83000004291534,0.0148999998345971,0.442958503961563,28.0009994506836,304.117706298828,-5.35270023345947,67.3526992797852,38.6473007202148,106,16.5041007995606,"high reliability"
"1451","Birds Australia 5km area search","Observation","place",8649.34754,"road",0.004524234,"N","N",183,-0.174999997019768,15,90,81,8,1.98479998111725,0.0143999997526407,0.543868958950043,7.61109733581543,331.307403564453,-6.55770015716553,66.2996978759766,11.7799997329712,8,15.0296001434326,"high reliability"
"1452","Birds Australia 5km area search","Observation","place",13512.97884,"road",0.000656865,"Y","Y",96.355598449707,-0.00329999998211861,71,51,74,18,0.975499987602234,0.00529999984428287,0.719700515270233,7.52679061889648,331.356903076172,-8.35690021514893,63.3940010070801,9.64309978485107,5,16.1499004364014,"high reliability"
