"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif"
"253","high reliability","Quadrat","place",6839.952055,"watercourse_stream",0.014371345,"Y","Y","N","N",96,0.155100002884865,16,95,134,12,1.96459996700287,0.0205000005662441,0.0625429153442383,0.395683228969574,288.178314208984,26.970100402832,60.5265007019043,11.6759996414185,12,15.2199001312256
"254","high reliability","Quadrat","place",3916.0978,"road",0.000315514,"Y","Y","N","N",161.800003051758,0.0197000000625849,37,140,127,6,1.96780002117157,0.0138999996706843,1.20229780673981,9.01477432250977,290.815399169922,-1.55680000782013,68.5568008422852,59.3852005004883,6,14.2875003814697
"255","high reliability","Quadrat","mountain",6637.706928,"road",0.002982531,"Y","Y","N","N",425.200012207031,-0.956200003623962,6,76,1,12,2.59109997749329,0.0744000002741814,1.76512801647186,12.5306997299194,307.801391601562,11.5481004714966,56.1846008300781,61.4723014831543,12,12.4589004516602
"256","high reliability","Quadrat","place",5313.882797,"road",0.00561526,"Y","Y","N","N",2.79999995231628,-0.00120000005699694,16,95,122,103,0.769599974155426,0.00469999993219972,0,1.76559710502625,272.786895751953,16.3477001190186,69.7869033813477,11.5156002044678,103,18.0657997131348
"257","high reliability","Quadrat","place",7623.696691,"road",0.02418059,"Y","Y","N","N",62.5999984741211,0,37,151,126,17,1.48749995231628,0.0020000000949949,0.186217352747917,2.38325834274292,265.881896972656,-0.881900012493134,86.8818969726562,55.1180992126465,106,16.6830997467041
"258","high reliability","Quadrat","place",13886.22093,"road",0.003946544,"Y","Y","N","N",161,-0.00380000006407499,30,112,117,6,1.32299995422363,0.00839999970048666,0.526009559631348,7.742760181427,304.884490966797,-4.88450002670288,67.8843002319336,46.1141014099121,6,17.2730007171631
"259","high reliability","Quadrat","airport",703.696066,"road",0.016118869,"Y","Y","N","N",167,-0.00540000014007092,30,112,98,103,0.416700005531311,0.00669999979436398,0.130791381001473,4.32820415496826,311.285797119141,-9.28579998016357,72.05419921875,42.4706001281738,103,16.4349002838135
"260","high reliability","Quadrat","place",7848.675357,"road",0.00131473,"N","Y","N","N",354.600006103516,0.0575000010430813,35,121,81,3,2.4663999080658,0.0204000007361174,0.501899063587189,10.9399566650391,303.099212646484,3.13579988479614,61.7456016540527,42.8226013183594,3,14.1294002532959
"261","high reliability","Quadrat","place",4308.479702,"road",0.015626309,"Y","Y","N","N",9.39999961853027,0.00170000002253801,16,95,122,2,1.09469997882843,0.00499999988824129,0,1.76559710502625,269.37890625,19.6149005889893,67.3788986206055,14.6211004257202,2,17.3771991729736
"262","high reliability","Quadrat","place",9594.792068,"road",0.002670235,"Y","Y","N","N",2,0.00120000005699694,16,95,122,103,0.6875,0.00980000011622906,0,1.76559710502625,272.915313720703,18.3647994995117,69.6352005004883,12.364800453186,103,18.4754009246826
"263","high reliability","Quadrat","place",8190.855526,"road",0.008558771,"Y","Y","N","N",10.1999998092651,-0.00039999998989515,16,95,122,2,1.11749994754791,0.00240000011399388,0,1.76559710502625,269.031402587891,21.183500289917,66.8170013427734,15.6724996566773,2,17.7723007202148
"264","low reliability","Incidental","rail_station",3007.324976,"road",0.001784108,"N","N","N","N",322.600006103516,-0.0315999984741211,35,121,104,16,2.05049991607666,0.0188999995589256,2.41769170761108,10.6635656356812,303.243286132812,-4.24319982528687,70.2432022094727,24.2084999084473,3,14.0924997329712
"265","high reliability","Quadrat","mountain",3010.140225,"watercourse_stream",0.00256495,"Y","Y","N","N",397.799987792969,0,30,112,139,5,2.40820002555847,0.00430000014603138,0.11713008582592,4.07320356369019,298.62890625,7.18260002136231,52.5960998535156,63.9183006286621,5,10.4649000167847
"266","high reliability","Quadrat","mountain",13016.10056,"road",0.008221576,"Y","Y","N","N",205.600006103516,0.00170000002253801,30,112,139,106,1.70050001144409,0.00579999992623925,0.140816628932953,17.374080657959,303.345794677734,-0.85479998588562,66.3458023071289,46.6542015075684,106,17.0452003479004
